,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
-,0.5624563423640917,0.06250000007573521,0.06250000008896649,0.0625000002225363,0.06250000008350769,0.06250000004568443,0.06250000008217338,0.06254365703730493
aaaagh,0.5624563423640749,0.06250000007573521,0.06250000008896649,0.0625000002225363,0.06250000008350769,0.06250000004568443,0.06250000008217338,0.06254365703732159
aban,0.5624999995407701,0.06250000005668907,0.06250000006649724,0.06250000016675925,0.06250000006265541,0.06250000003423298,0.06250000006146754,0.06250000001092842
abandon,0.03125148143942395,0.031250000042419006,0.031250000049804785,0.0312500001248021,0.0312500000468512,0.031250000025594665,0.03125000004599319,0.7812485182251112
abandoning,0.03125000001117373,0.03125000003153522,0.03125000003702319,0.03125000009284654,0.2812500337463654,0.2812499335106938,0.28125003256430414,0.03125000000605807
abandonment,0.35416667420022746,0.02083333338071022,0.020833333388975594,0.020833333472791916,0.02083333338569338,0.02083333336190769,0.18750011335069655,0.3541665454589972
abate,0.06250000000620352,0.06250000001747945,0.5624999998726282,0.06250000005150781,0.0625000000193109,0.06250000001055217,0.06250000001895288,0.062500000003365
ability,0.16071413331423806,0.017857142914231745,0.01785714292415883,0.017857143025235854,0.30357182796833143,0.16071426541593198,0.16071440042822482,0.16071394400964714
abject,0.04166982965880138,0.04166666672662214,0.041666666736928995,0.04166666684285868,0.04166666673283767,0.04166666670279801,0.04166666673169287,0.7083301698674602
abjection,0.0625000000352684,0.06250000009913888,0.06250000011642153,0.0625000002915262,0.0625000001095485,0.06250000005988728,0.06250000010751337,0.5624999991806958
able,0.3846025413777041,0.10677093466071605,0.08593758483207735,0.002604166687481908,0.023437461564211243,0.0026048410692248634,0.023437461775308744,0.3706050080332757
abnegation,0.3749998800628797,0.041666666716081796,0.37500011959470275,0.04166666681214748,0.041666666721280325,0.04166666669649288,0.04166666672024973,0.04166666667616506
abnormal,0.5624999994726286,0.06250000006509,0.06250000007642637,0.06250000019152394,0.0625000000719273,0.06250000003928717,0.06250000007059117,0.06250000001252534
abode,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
abolished,0.0625000000352684,0.06250000009913888,0.06250000011642153,0.0625000002915262,0.0625000001095485,0.06250000005988728,0.06250000010751337,0.5624999991806958
abreast,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
abroad,0.06250000000591627,0.06250000001666006,0.06250000001955255,0.06250000004904599,0.06250000001840293,0.0625000000100526,0.5624999998771517,0.06250000000321784
abrogated,0.06250000005740365,0.06250000016194691,0.06250000018900985,0.06250000047379951,0.06250000017835211,0.06271164556390378,0.06250000017487779,0.5622883532007064
abrupt,0.06251155120438665,0.06250000011863072,0.06250000013893899,0.0625000003482954,0.06250000013086551,0.0625000000714732,0.06250000012862593,0.5624884478587836
abruptly,0.06250000006668172,0.06250000018812213,0.0625000002195592,0.06250000055037892,0.06250000020717887,0.48094446062994217,0.062500000203143,0.144055537934994
absence,0.14062490933676017,0.015625000041135977,0.01562500004825627,0.01562500012102012,0.14062510073627368,0.015632561502191195,0.015625000044572436,0.6406174281697902
absentia,0.06251155120438665,0.06250000011863072,0.06250000013893899,0.0625000003482954,0.06250000013086551,0.0625000000714732,0.06250000012862593,0.5624884478587836
absolute,0.4464286307233157,0.01785714289207505,0.01785714289812619,0.01785714295992228,0.017857142895723706,0.017857142878202753,0.01785714289503437,0.4464285118576001
absolutely,0.22499992210130879,0.22500020993049794,0.02500000009875185,0.02500000024771965,0.02500000009298685,0.22500007600817998,0.02500000009128205,0.22499979142927284
absorbed,0.32031253783299035,0.07031251811148664,0.07031252467191043,0.007812500062178374,0.07031252216355045,0.007815138905151018,0.007812500022893212,0.4453097582298395
absorbing,0.37500004467545556,0.04166666677608555,0.04166666679516489,0.04166666698863305,0.0416666667875835,0.041666666732715935,0.041666666785336,0.37499995445902545
abstinence,0.0416666666944842,0.041666666745108494,0.37500022652655435,0.041666666897422294,0.0416666667532918,0.04166666671397797,0.04166666675176153,0.3749997729173995
abstract,0.06250000003812228,0.06250000010733922,0.06250000012574364,0.06250000031530609,0.06250000011846649,0.06250000006468305,0.06250000011624761,0.5624999991140915
abstraction,0.06250000003812228,0.06250000010733922,0.06250000012574364,0.06250000031530609,0.06250000011846649,0.06250000006468305,0.06250000011624761,0.5624999991140915
absurd,0.3096987022588114,0.017857142901761294,0.017857142909498577,0.01785714298844534,0.01785714290644035,0.16071431042491774,0.017857142905543834,0.4403012727045814
abundance,0.06250000003559864,0.06250000010025915,0.06250000011755703,0.06250000029470147,0.06250000011070266,0.06250000006049064,0.06250000010876527,0.5624999991719253
abundant,0.06250000003374016,0.06250000009487813,0.06250000011143321,0.06250000027895809,0.0625000001048479,0.06250000005728822,0.06250000010306578,0.5624999992157885
abused,0.06250000003559864,0.06250000010025915,0.06250000011755703,0.06250000029470147,0.06250000011070266,0.06250000006049064,0.06250000010876527,0.5624999991719253
abusive,0.562499999588452,0.06250000005080945,0.06250000005964192,0.06250000014938498,0.06250000005615673,0.062500000030657,0.06250000005508795,0.06250000000981003
